Code  Long.   cos      sin    Name
000   0.000000.624110+0.778730Greenwich
001   0.154200.629920+0.774110Crowborough
002   0.620000.622000+0.781000Rayleigh
003   3.900000.725000+0.687000Montpellier
004   1.462500.725200+0.686270Toulouse
005   2.231000.659891+0.748875Meudon
006   2.124170.751042+0.658129Fabra Observatory, Barcelona
007   2.336750.659470+0.749223Paris
008   3.035500.801720+0.595780Algiers-Bouzareah
009   7.441700.683800+0.727200Berne-Uecht
010   6.921240.723655+0.688135Caussols
011   8.797500.679200+0.731610Wetzikon
012   4.358210.633333+0.771306Uccle
013   4.483970.614813+0.786029Leiden
014   5.395090.728859+0.682384Marseilles
015   5.129290.615770+0.785285Utrecht
016   5.989300.680060+0.730760Besancon
017   6.849240.641946+0.764282Hoher List
018   6.761200.627790+0.775780Dusseldorf-Bilk
019   6.957500.683310+0.727790Neuchatel
020   7.300400.723910+0.687670Nice
021   8.385500.657010+0.751380Karlsruhe
022   7.774800.707900+0.704090Pino Torinese
023   8.262500.642990+0.763350Wiesbaden
024   8.721600.652110+0.755700Heidelberg-Konigstuhl
025   9.196500.660205+0.748637Stuttgart
026   7.465110.684884+0.726402Berne-Zimmerwald
027   9.191200.702540+0.709290Milan
028   9.936300.646860+0.760090Wurzburg
029  10.240600.596400+0.800000Hamburg-Bergedorf
030  11.254460.723534+0.688012Arcetri Observatory, Florence
031  11.189850.639061+0.766705Sonneberg
032  11.582950.631624+0.772706Jena
033  11.711240.630900+0.773333Karl Schwarzschild Observatory, Tautenburg
034  12.452460.745176+0.664656Monte Mario Observatory, Rome
035  12.575920.565008+0.822321Copenhagen
036  12.650400.747247+0.662420Castel Gandolfo
037  13.733300.736600+0.674160Collurania Observatory, Teramo
038  13.770400.700330+0.711440Trieste
039  13.187400.564850+0.822430Lund
040  13.729800.630190+0.773870Lohrmann Institute, Dresden
041  11.380830.679862+0.731012Innsbruck
042  13.064280.611721+0.788439Potsdam
043  11.526430.697656+0.714269Asiago Astrophysical Observatory, Padua
044  14.255900.757380+0.650820Capodimonte Observatory, Naples
045  16.339000.667390+0.742270Vienna (since 1879)
046  14.288100.659220+0.749650Klet Observatory, Ceske Budejovice
047  16.878200.611460+0.788640Poznan
048  15.840800.641709+0.764432Hradec Kralove
049  17.606700.508800+0.858000Uppsala-Kvistaberg
050  18.058200.511180+0.856600Stockholm (before 1931)
051  18.476600.830550-0.555080Royal Observatory, Cape of Good Hope
052  18.308300.512240+0.855970Stockholm-Saltsjobaden
053  18.964200.676880+0.733730Konkoly Observatory, Budapest (since 1933)
054  11.665400.565950+0.821690Brorfelde
055  19.959600.643210+0.763160Cracow
056  20.234180.655001+0.753470Skalnate Pleso
057  20.513300.710740+0.701160Belgrade
058  20.495000.578970+0.812620Kaliningrad
059  20.220100.655000+0.753640Lomnicky Stit
060  21.420000.615720+0.785350Warsaw-Ostrowik
061  22.298500.662142+0.746904Uzhgorod
062  22.229300.494400+0.866320Turku
063  22.445000.494960+0.866010Turku-Tuorla
064  22.750000.494890+0.866050Turku-Kevola
065  12.631800.672220+0.738000Traunstein
066  23.718170.789321+0.611946Athens
067  24.029700.646320+0.760580Lvov University Observatory
068  24.014200.646270+0.760620Lvov Polytechnic Institute
069  24.404200.549250+0.832870Baldone
070  25.286500.579400+0.812330Vilnius (before 1939)
071  24.737820.748030+0.661850NAO Rozhen, Smolyan
072   7.170000.629000+0.774000Scheuren Observatory
073  26.096700.715490+0.696300Bucharest
074  26.405800.875180-0.482630Boyden Observatory, Bloemfontein
075  26.721600.525570+0.847910Tartu
076  27.876800.901270-0.432250Johannesburg-Hartbeespoort
077  28.029200.898190-0.438760Yale-Columbia Station, Johannesburg
078  28.075000.898240-0.438680Johannesburg
079  28.228800.901200-0.432510Radcliffe Observatory, Pretoria
080  28.966700.755660+0.652780Istanbul
081  27.876800.901270-0.432250Leiden Station, Johannesburg
082  15.756100.669290+0.740630St. Polten
083  30.505600.639180+0.766510Golosseevo-Kiev
084  30.327400.504710+0.860410Pulkovo
085  30.502300.638000+0.767490Kiev
086  30.758200.689870+0.721520Odessa
087  31.341100.867990+0.494950Helwan
088  31.825000.867410+0.496080Kottomia
089  31.974700.683590+0.727430Nikolaev
090   8.250000.645000+0.762000Mainz
091   4.209190.703630+0.708287Observatoire de Nurol, Aurec sur Loire
092  18.554600.601770+0.796010Torun-Piwnice
093  20.364700.353700+0.932200Skibotn
094  33.997400.715650+0.696200Crimea-Simeis
095  34.016000.711720+0.700240Crimea-Nauchnij
096   9.428300.699670+0.712150Merate
097  34.762500.861650+0.506080Wise Observatory, Mitzpeh Ramon
098  11.569000.697916+0.714090Asiago Observatory, Cima Ekar
099  25.535290.484073+0.872114Lahti
100  24.141450.461165+0.884370Ahtari
101  36.232200.644030+0.762460Kharkov
102  36.759530.564841+0.822468Zvenigorod
103  14.527740.695365+0.716346Ljubljana
104  10.803750.719842+0.692040San Marcello Pistoiese
105  37.570600.564030+0.823020Moscow
106  14.071100.696620+0.715190Crni Vrh
107  11.003000.709980+0.701860Cavezzo
108  11.027800.723670+0.687840Montelupo
109   3.070500.802410+0.594810Algiers-Kouba
110  39.415000.543160+0.836830Rostov
111  10.972100.724390+0.687100Piazzano Observatory, Florence
112  10.903900.702320+0.709500Pleiade Observatory, Verona
113  13.016600.635020+0.770010Volkssternwarte Drebach, Schoenbrunn
114  41.427700.724890+0.687020Engelhardt Observatory, Zelenchukskaya Station
115  41.440670.725004+0.686912Zelenchukskaya
116  11.595800.668930+0.740940Giesing
117  11.538500.668970+0.740920Sendling
118  17.274000.665580+0.743940Astronomical and Geophysical Observatory, Modra
119  42.820000.747310+0.662620Abastuman
120  13.726100.704890+0.706990Visnjan
121  36.934030.648856+0.758394Kharkov University, Chuguevskaya Station
122   3.503500.720170+0.691760Pises Observatory
123  44.291700.763520+0.643980Byurakan
124   2.255000.725340+0.686120Castres
125  44.789500.747594+0.662026Tbilisi
126   9.790300.718930+0.692830Monte Viseggi
127   6.979700.633850+0.770880Bornheim
128  46.006610.623279+0.779393Saratov
129  45.920000.777000+0.628000Ordubad
130  10.239630.700148+0.711796Lumezzane
131   4.725000.712300+0.699600Observatoire de l'Ardeche
132   5.246100.719190+0.692600Bedoin
133   5.090600.728190+0.683090Les Tardieux
134  11.482450.631607+0.772773Groszschwabhausen
135  49.121000.563530+0.823340Kasan
136  48.815600.562820+0.823830Engelhardt Observatory, Kasan
137  34.814700.848210+0.527900Givatayim Observatory
138   7.571700.675500+0.734940Village-Neuf
139   7.110800.725260+0.686180Antibes
140   3.629400.699450+0.712410Augerolles
141   7.367200.656460+0.751890Hottviller
142   7.187400.621560+0.780750Sinsen
143   9.024060.692986+0.718590Gnosca
144   1.666000.655490+0.752680Bray et Lu
145   4.559700.627340+0.776140's-Gravenwezel
146  10.667300.717150+0.694870Frignano
147   8.573910.700430+0.711392Osservatorio Astronomico di Suno
148   2.037500.724810+0.686670Guitalens
149   4.223600.654030+0.753960Beine-Nauroy
150   2.157200.658060+0.750450Maisons Laffitte
151   8.744000.677190+0.733460Eschenberg Observatory, Winterthur
152  25.563300.570360+0.818680Moletai Astronomical Observatory
153   9.174700.660800+0.748140Stuttgart-Hoffeld
154  12.104300.689230+0.722500Cortina
155  10.197100.558640+0.826640Ole Romer Observatory, Aarhus
156  15.085800.794310+0.605490Catania Astrophysical Observatory
157  12.811700.741660+0.668640Frasso Sabino
158   7.603300.698710+0.713330Promiod
159  10.515300.720650+0.691150Monte Agliale
160  10.841440.722651+0.688913Castelmartini
161   8.160500.707250+0.704670Cerrina Tololo Observatory
162  15.780500.759880+0.648080Potenza
163   6.149200.650170+0.757310Roeser Observatory, Luxembourg
164   6.886100.666310+0.743250St. Michel sur Meurthe
165   1.755300.749840+0.659460Piera Observatory, Barcelona
166  16.011700.637300+0.768120Upice
167   8.572700.676620+0.733980Bulach Observatory
168  59.547200.545410+0.835410Kourovskaya
169   8.401600.707370+0.704530Airali Observatory
170   1.920600.752170+0.657110Observatorio de Begues
171  14.469700.810890+0.583270Flarestar Observatory, San Gwann
172   7.036400.685930+0.725390Onnens
173  55.506100.934640-0.354470St. Clotilde, Reunion
174  25.513100.465360+0.882190Nyrola Observatory, Jyvaskyla
175   7.608300.693200+0.718800F.-X. Bagnoud Observatory, St-Luc
176   2.822500.770980+0.634750Observatorio Astronomico de Consell
177   3.941400.724770+0.686690Le Cres
178   6.134400.694230+0.717450Collonges
179   9.017500.696940+0.715070Monte Generoso
180   3.951900.725710+0.685700Mauguio
181  55.410000.932880-0.359410Observatoire des Makes, Saint-Louis
182  55.258600.933940-0.356340St. Paul, Reunion
183  41.420000.724960+0.686950Starlab Observatory, Karachay-Cherkessia
184   6.036100.720810+0.690970Valmeca Observatory, Puimichel
185   7.421900.678760+0.732000Observatoire Astronomique Jurassien-Vicques
186  66.882100.776790+0.627810Kitab
187  17.073300.613140+0.787350Astronomical Observatory, Borowiec
188  66.895550.782059+0.621762Majdanak
189   6.151400.693400+0.718230Geneva (before 1967)
190  68.681900.783820+0.619090Gissar
191  68.781100.783060+0.620060Dushanbe
192  69.293600.752130+0.656920Tashkent
193  69.217800.786480+0.616100Sanglok
194  18.009400.918070-0.395790Tivoli
195  11.449200.668040+0.741740Untermenzing Observatory, Munich
196   7.333100.652960+0.754900Homburg-Erbach
197  12.183600.717390+0.694340Bastia
198   8.756740.662195+0.746924Wildberg
199   2.438000.666590+0.742940Buthiers
200   4.303600.633850+0.770880Beersel Hills Observatory
201   7.603300.698710+0.713320Jonathan B. Postel Observatory
202   5.899700.731370+0.679710Tamaris Observatoire, La Seyne sur Mer
203   8.995500.701610+0.710210GiaGa Observatory
204   8.770800.697650+0.714300Schiaparelli Observatory
205  11.273100.714780+0.697030Obs. Casalecchio di Reno, Bologna
206  10.566700.492200+0.867700Haagaar Observatory, Eina
207   9.306500.701560+0.710250Osservatorio Antonio Grosso
208   9.587500.708930+0.702940Rivalta
209  11.568830.697904+0.714100Asiago Observatory, Cima Ekar-ADAS
210  76.957300.730420+0.681040Alma-Ata
211  11.176400.723380+0.688150Scandicci
212 355.357470.803253+0.593708Observatorio La Dehesilla
213   2.385390.749843+0.659421Observatorio Montcabre
214  11.656900.667090+0.742580Garching Observatory
215  10.732800.670210+0.739810Buchloe
216   5.691400.657320+0.751140Observatoire des Cote de Meuse
217  77.871140.730114+0.681643Assah
218  78.454100.954440+0.297680Hyderabad
219  78.728300.956180+0.292160Japal-Rangapur
220  78.826300.976270+0.216340Vainu Bappu Observatory, Kavalur
221  16.361700.919631-0.392203IAS Observatory, Hakos
222   2.493900.661130+0.747770Yerres-Canotiers
223  80.246400.974270+0.224650Madras
224   7.501710.673178+0.737048Ottmarsheim
225 288.825000.729800+0.681400Northwood Ridge Observatory
226  11.885800.702930+0.708880Guido Ruggieri Observatory, Padua
227 281.285300.736830+0.673920OrbitJet Observatory, Colden
228  13.875000.700380+0.711470Bruno Zugna Observatory, Trieste
229  14.974300.759360+0.648570G. C. Gloriosi Astronomical Observatory, Salerno
230  12.013300.674400+0.736300Mt. Wendelstein Observatory
231   5.398300.644030+0.762530Vesqueville
232   1.331700.750000+0.659300Masquefa Observatory
233  10.540300.722260+0.689310Sauro Donati Astronomical Observatory, San Vito
234   1.128330.614951+0.785931Coddenham Observatory
235  13.113520.696669+0.714993CAST Observatory, Talmassons
236  84.946500.553700+0.829950Tomsk
237   2.733300.682200+0.728800Baugy
238  10.909400.502040+0.861970Grorudalen Optical Observatory
239   8.411400.645060+0.761590Trebur
240   8.833170.662308+0.746832Herrenberg Sternwarte
241  13.470000.664650+0.744740Schaerding
242   1.695600.726810+0.684600Varennes
243   9.413000.595720+0.800500Umbrella Observatory, Fredenbeck
244   0.000000.000000+0.000000Geocentric Occultation Observation
245                           Spitzer Space Telescope
246  14.284760.659216+0.749664Klet Observatory-KLENOT
247                           Roving Observer
248   0.000000.000000+0.000000Hipparcos
249                           SOHO
250                           Hubble Space Telescope
251 293.246920.949577+0.312734Arecibo
252 243.205120.817719+0.573979Goldstone DSS 13, Fort Irwin
253 243.110470.815913+0.576510Goldstone DSS 14, Fort Irwin
254 288.511280.736973+0.673692Haystack, Westford
255  33.186890.705965+0.705886Evpatoria
256 280.160170.784451+0.618320Green Bank
257 243.124610.816796+0.575252Goldstone DSS 25, Fort Irwin
258                           Gaia
259  19.225860.349828+0.933688EISCAT Tromso UHF
260 149.066100.855600-0.516260Siding Spring Observatory-DSS
261 243.140220.836325+0.546877Palomar Mountain-DSS
262 289.266260.873440-0.486052European Southern Observatory, La Silla-DSS
266 204.523440.941701+0.337237New Horizons KBO Search-Subaru
